date,year,month,region,direction,container_volume,industrial_production_index,truck_toll_index,business_climate_index
2023-11-01,2023,11,REGION_A,IMPORT,4667,103.69,97.64,97.14
2023-12-01,2023,12,REGION_A,IMPORT,5680,104.67,98.46,96.69
2024-01-01,2024,1,REGION_A,IMPORT,6261,103.52,102.27,101.36
2024-02-01,2024,2,REGION_A,IMPORT,5873,104.03,103.79,94.99
2024-03-01,2024,3,REGION_A,IMPORT,5999,104.78,106.04,95.58
2024-04-01,2024,4,REGION_A,IMPORT,5860,100.68,104.72,99.48
2024-05-01,2024,5,REGION_A,IMPORT,5852,103.02,102.54,96.94
2024-06-01,2024,6,REGION_A,IMPORT,5327,102.79,102.19,97.97
2024-07-01,2024,7,REGION_A,IMPORT,5156,102.53,96.22,97.63
2024-08-01,2024,8,REGION_A,IMPORT,4458,103.32,95.58,98.94
2024-09-01,2024,9,REGION_A,IMPORT,5267,106.93,94.61,101.67
2024-10-01,2024,10,REGION_A,IMPORT,5190,102.28,95.95,98.44
2024-11-01,2024,11,REGION_A,IMPORT,5367,106.02,95.93,99.88
2024-12-01,2024,12,REGION_A,IMPORT,5308,100.79,100.95,93.2
2025-01-01,2025,1,REGION_A,IMPORT,5550,103.56,101.67,98.26
2025-02-01,2025,2,REGION_A,IMPORT,6543,104.62,101.26,96.33
2025-03-01,2025,3,REGION_A,IMPORT,6157,105.54,102.48,95.45
2025-04-01,2025,4,REGION_A,IMPORT,6354,105.86,103.93,96.35
2025-05-01,2025,5,REGION_A,IMPORT,5440,106.09,103.26,97.77
2025-06-01,2025,6,REGION_A,IMPORT,6346,103.88,103.0,100.95
2025-07-01,2025,7,REGION_A,IMPORT,5564,103.72,102.37,95.4
2025-08-01,2025,8,REGION_A,IMPORT,4364,106.43,97.16,98.85
2025-09-01,2025,9,REGION_A,IMPORT,4307,104.41,94.52,97.62
2025-10-01,2025,10,REGION_A,IMPORT,4823,102.31,93.34,98.07
2025-11-01,2025,11,REGION_A,IMPORT,5449,102.66,98.4,101.45
2025-12-01,2025,12,REGION_A,IMPORT,5850,103.16,98.78,100.35
2020-01-01,2020,1,REGION_A,EXPORT,10260,99.5,103.5,97.32
2020-02-01,2020,2,REGION_A,EXPORT,9221,100.38,101.88,93.54
2020-03-01,2020,3,REGION_A,EXPORT,8805,103.08,103.81,93.78
2020-04-01,2020,4,REGION_A,EXPORT,9178,95.08,105.69,92.49
2020-05-01,2020,5,REGION_A,EXPORT,8238,99.81,100.88,93.59
2020-06-01,2020,6,REGION_A,EXPORT,8617,100.71,98.77,96.35
2020-07-01,2020,7,REGION_A,EXPORT,8199,101.01,98.3,94.86
2020-08-01,2020,8,REGION_A,EXPORT,7440,99.75,97.8,96.22
2020-09-01,2020,9,REGION_A,EXPORT,7496,97.05,96.02,96.36
2020-10-01,2020,10,REGION_A,EXPORT,7763,101.29,98.53,98.81
2020-11-01,2020,11,REGION_A,EXPORT,8622,104.16,99.29,94.71
2020-12-01,2020,12,REGION_A,EXPORT,8398,97.71,101.26,91.93
2021-01-01,2021,1,REGION_A,EXPORT,9713,102.57,102.83,98.34
2021-02-01,2021,2,REGION_A,EXPORT,10053,100.26,106.96,94.9
2021-03-01,2021,3,REGION_A,EXPORT,8729,100.86,103.69,98.58
2021-04-01,2021,4,REGION_A,EXPORT,8690,98.95,100.46,96.8
2021-05-01,2021,5,REGION_A,EXPORT,9910,100.46,104.41,95.57
2021-06-01,2021,6,REGION_A,EXPORT,8894,103.8,99.31,96.83
2021-07-01,2021,7,REGION_A,EXPORT,9084,102.43,98.16,100.89
2021-08-01,2021,8,REGION_A,EXPORT,7602,104.8,98.5,101.26
2021-09-01,2021,9,REGION_A,EXPORT,8079,103.76,93.6,96.3
2021-10-01,2021,10,REGION_A,EXPORT,7705,102.36,94.66,96.58
2021-11-01,2021,11,REGION_A,EXPORT,8551,105.04,95.6,98.93
2021-12-01,2021,12,REGION_A,EXPORT,9747,102.5,98.81,94.18
2022-01-01,2022,1,REGION_A,EXPORT,9217,103.35,102.66,97.18
2022-02-01,2022,2,REGION_A,EXPORT,8895,101.17,104.25,96.34
2022-03-01,2022,3,REGION_A,EXPORT,9139,101.96,104.41,97.25
2022-04-01,2022,4,REGION_A,EXPORT,9506,100.51,101.34,94.44
2022-05-01,2022,5,REGION_A,EXPORT,8536,103.95,98.53,92.6
2022-06-01,2022,6,REGION_A,EXPORT,9265,99.69,100.08,91.45
2022-07-01,2022,7,REGION_A,EXPORT,8171,103.68,97.29,93.9
2022-08-01,2022,8,REGION_A,EXPORT,8336,101.8,97.22,95.6
2022-09-01,2022,9,REGION_A,EXPORT,6386,104.6,97.05,96.07
2022-10-01,2022,10,REGION_A,EXPORT,7523,103.83,96.74,101.7
2022-11-01,2022,11,REGION_A,EXPORT,7820,106.04,99.14,99.68
2022-12-01,2022,12,REGION_A,EXPORT,8761,103.93,100.34,94.57
2023-01-01,2023,1,REGION_A,EXPORT,9551,99.39,102.8,97.9
2023-02-01,2023,2,REGION_A,EXPORT,9392,102.47,102.41,96.07
2023-03-01,2023,3,REGION_A,EXPORT,9293,100.33,103.73,96.43
2023-04-01,2023,4,REGION_A,EXPORT,9451,101.71,103.76,97.66
2023-05-01,2023,5,REGION_A,EXPORT,9762,105.84,103.23,98.8
2023-06-01,2023,6,REGION_A,EXPORT,8747,104.16,99.41,96.46
2023-07-01,2023,7,REGION_A,EXPORT,8967,101.56,98.78,100.03
2023-08-01,2023,8,REGION_A,EXPORT,8164,101.0,96.14,94.57
2023-09-01,2023,9,REGION_A,EXPORT,7844,103.16,95.82,97.49
2023-10-01,2023,10,REGION_A,EXPORT,8283,100.74,97.78,104.03
2023-11-01,2023,11,REGION_A,EXPORT,8715,101.9,95.01,98.15
2023-12-01,2023,12,REGION_A,EXPORT,10346,103.93,98.06,101.23
2024-01-01,2024,1,REGION_A,EXPORT,9618,105.69,99.78,97.93
2024-02-01,2024,2,REGION_A,EXPORT,9505,104.67,99.96,99.21
2024-03-01,2024,3,REGION_A,EXPORT,9136,98.94,102.98,97.67
2024-04-01,2024,4,REGION_A,EXPORT,9223,104.2,104.59,97.45
2024-05-01,2024,5,REGION_A,EXPORT,9047,103.81,101.57,95.98
2024-06-01,2024,6,REGION_A,EXPORT,8994,104.56,100.3,99.06
2024-07-01,2024,7,REGION_A,EXPORT,8815,107.04,99.63,95.91
2024-08-01,2024,8,REGION_A,EXPORT,8210,99.75,98.53,99.76
2024-09-01,2024,9,REGION_A,EXPORT,7839,102.76,95.9,100.87
2024-10-01,2024,10,REGION_A,EXPORT,7823,105.2,98.57,99.13
2024-11-01,2024,11,REGION_A,EXPORT,9168,100.92,98.14,97.55
2024-12-01,2024,12,REGION_A,EXPORT,9904,107.11,98.74,99.46
2025-01-01,2025,1,REGION_A,EXPORT,9710,104.96,101.11,97.61
2025-02-01,2025,2,REGION_A,EXPORT,9540,105.99,101.24,100.78
2025-03-01,2025,3,REGION_A,EXPORT,9963,103.22,102.67,93.91
2025-04-01,2025,4,REGION_A,EXPORT,9972,106.06,102.93,97.71
2025-05-01,2025,5,REGION_A,EXPORT,9148,106.64,103.21,93.63
2025-06-01,2025,6,REGION_A,EXPORT,9529,105.04,102.58,94.92
2025-07-01,2025,7,REGION_A,EXPORT,9063,105.12,95.93,102.13
2025-08-01,2025,8,REGION_A,EXPORT,7859,105.26,97.13,101.01
2025-09-01,2025,9,REGION_A,EXPORT,7962,103.06,94.44,97.03
2025-10-01,2025,10,REGION_A,EXPORT,7511,104.56,97.25,95.13
2025-11-01,2025,11,REGION_A,EXPORT,9520,104.62,97.8,91.53
2025-12-01,2025,12,REGION_A,EXPORT,10192,105.77,97.25,97.64
2020-01-01,2020,1,REGION_B,IMPORT,8879,100.73,101.74,91.26
2020-02-01,2020,2,REGION_B,IMPORT,9334,95.25,105.97,92.75
2020-03-01,2020,3,REGION_B,IMPORT,9406,97.83,102.34,98.77
2020-04-01,2020,4,REGION_B,IMPORT,9494,99.62,104.34,95.88
2020-05-01,2020,5,REGION_B,IMPORT,9048,98.14,102.48,97.14
2020-06-01,2020,6,REGION_B,IMPORT,8417,101.78,98.7,92.43
2020-07-01,2020,7,REGION_B,IMPORT,7867,104.42,98.27,92.54
2020-08-01,2020,8,REGION_B,IMPORT,7838,98.14,98.35,96.51
2020-09-01,2020,9,REGION_B,IMPORT,7586,98.89,95.51,95.6
2020-10-01,2020,10,REGION_B,IMPORT,8278,101.1,94.0,96.88
2020-11-01,2020,11,REGION_B,IMPORT,8893,103.93,97.97,95.09
2020-12-01,2020,12,REGION_B,IMPORT,8806,98.33,98.65,96.32
2021-01-01,2021,1,REGION_B,IMPORT,8703,101.34,101.49,96.07
2021-02-01,2021,2,REGION_B,IMPORT,9235,104.56,103.34,97.68
2021-03-01,2021,3,REGION_B,IMPORT,9255,97.68,101.44,97.81
2021-04-01,2021,4,REGION_B,IMPORT,9080,98.49,101.04,91.8
2021-05-01,2021,5,REGION_B,IMPORT,8998,100.28,102.72,90.28
2021-06-01,2021,6,REGION_B,IMPORT,9166,100.16,99.22,98.46
2021-07-01,2021,7,REGION_B,IMPORT,8322,102.89,94.15,98.98
2021-08-01,2021,8,REGION_B,IMPORT,7700,101.82,97.71,93.52
2021-09-01,2021,9,REGION_B,IMPORT,7741,97.86,96.41,91.48
2021-10-01,2021,10,REGION_B,IMPORT,7847,102.51,95.47,96.43
2021-11-01,2021,11,REGION_B,IMPORT,8692,100.39,96.02,98.57
2021-12-01,2021,12,REGION_B,IMPORT,9447,104.17,101.25,100.79
2022-01-01,2022,1,REGION_B,IMPORT,9002,100.43,102.52,97.64
2022-02-01,2022,2,REGION_B,IMPORT,9350,100.49,107.04,95.48
2022-03-01,2022,3,REGION_B,IMPORT,10149,102.91,104.63,94.23
2022-04-01,2022,4,REGION_B,IMPORT,9127,103.43,104.05,96.55
2022-05-01,2022,5,REGION_B,IMPORT,8685,102.87,101.75,95.83
2022-06-01,2022,6,REGION_B,IMPORT,8452,98.67,101.23,94.1
2022-07-01,2022,7,REGION_B,IMPORT,8910,103.19,98.94,101.81
2022-08-01,2022,8,REGION_B,IMPORT,8281,100.11,98.41,101.21
2022-09-01,2022,9,REGION_B,IMPORT,7980,102.72,95.22,99.64
2022-10-01,2022,10,REGION_B,IMPORT,8693,99.48,95.88,94.56
2022-11-01,2022,11,REGION_B,IMPORT,7777,103.29,97.28,99.05
2022-12-01,2022,12,REGION_B,IMPORT,9637,100.85,101.19,98.57
2023-01-01,2023,1,REGION_B,IMPORT,10420,99.97,104.25,98.13
2023-02-01,2023,2,REGION_B,IMPORT,9374,104.03,102.78,100.21
2023-03-01,2023,3,REGION_B,IMPORT,9647,103.16,103.36,98.73
2023-04-01,2023,4,REGION_B,IMPORT,9524,101.52,103.94,99.05
2023-05-01,2023,5,REGION_B,IMPORT,9544,105.72,101.63,98.85
2023-06-01,2023,6,REGION_B,IMPORT,9473,102.01,101.43,98.16
2023-07-01,2023,7,REGION_B,IMPORT,9567,103.02,94.62,92.91
2023-08-01,2023,8,REGION_B,IMPORT,9277,103.57,95.3,97.63
2023-09-01,2023,9,REGION_B,IMPORT,8059,101.86,94.83,96.09
2023-10-01,2023,10,REGION_B,IMPORT,9282,104.11,93.06,94.34
2023-11-01,2023,11,REGION_B,IMPORT,9167,102.17,96.55,101.8
2023-12-01,2023,12,REGION_B,IMPORT,10489,102.49,98.63,101.97
2024-01-01,2024,1,REGION_B,IMPORT,10082,106.11,101.7,101.1
2024-02-01,2024,2,REGION_B,IMPORT,10111,101.37,105.13,98.4
2024-03-01,2024,3,REGION_B,IMPORT,10135,98.7,103.63,101.19
2024-04-01,2024,4,REGION_B,IMPORT,11517,106.81,101.92,97.9
2024-05-01,2024,5,REGION_B,IMPORT,10599,108.76,101.91,98.44
2024-06-01,2024,6,REGION_B,IMPORT,9540,102.92,101.57,95.25
2024-07-01,2024,7,REGION_B,IMPORT,9643,99.93,96.54,99.03
2024-08-01,2024,8,REGION_B,IMPORT,8574,103.25,95.17,98.25
2024-09-01,2024,9,REGION_B,IMPORT,8288,103.37,96.84,94.9
2024-10-01,2024,10,REGION_B,IMPORT,9181,103.63,96.2,98.08
2024-11-01,2024,11,REGION_B,IMPORT,9396,101.86,98.97,98.07
2024-12-01,2024,12,REGION_B,IMPORT,10194,105.31,99.98,102.82
2025-01-01,2025,1,REGION_B,IMPORT,10365,105.27,103.05,100.62
2025-02-01,2025,2,REGION_B,IMPORT,10382,101.31,101.91,98.47
2025-03-01,2025,3,REGION_B,IMPORT,10543,105.76,103.98,99.11
2025-04-01,2025,4,REGION_B,IMPORT,9638,108.54,103.15,98.66
2025-05-01,2025,5,REGION_B,IMPORT,10636,104.85,100.18,98.1
2025-06-01,2025,6,REGION_B,IMPORT,9625,103.9,97.65,95.96
2025-07-01,2025,7,REGION_B,IMPORT,8987,104.36,99.03,98.34
2025-08-01,2025,8,REGION_B,IMPORT,9003,105.95,96.01,96.91
2025-09-01,2025,9,REGION_B,IMPORT,8694,101.33,94.47,95.71
2025-10-01,2025,10,REGION_B,IMPORT,8798,105.19,96.39,100.17
2025-11-01,2025,11,REGION_B,IMPORT,10063,104.15,99.69,99.92
2025-12-01,2025,12,REGION_B,IMPORT,9665,108.7,96.58,94.53
2020-01-01,2020,1,REGION_B,EXPORT,7601,98.83,102.32,93.75
2020-02-01,2020,2,REGION_B,EXPORT,7396,99.98,104.79,90.92
2020-03-01,2020,3,REGION_B,EXPORT,6916,100.7,104.74,92.5
2020-04-01,2020,4,REGION_B,EXPORT,6855,98.2,105.26,92.62
2020-05-01,2020,5,REGION_B,EXPORT,8042,101.73,102.43,95.36
2020-06-01,2020,6,REGION_B,EXPORT,7224,100.48,99.47,94.6
2020-07-01,2020,7,REGION_B,EXPORT,6357,96.64,98.5,94.5
2020-08-01,2020,8,REGION_B,EXPORT,5927,96.58,92.14,96.94
2020-09-01,2020,9,REGION_B,EXPORT,6236,100.54,96.57,96.3
2020-10-01,2020,10,REGION_B,EXPORT,6114,100.19,91.06,96.3
2020-11-01,2020,11,REGION_B,EXPORT,6469,100.5,95.41,96.59
2020-12-01,2020,12,REGION_B,EXPORT,8141,100.72,100.68,97.16
2021-01-01,2021,1,REGION_B,EXPORT,8576,101.3,102.72,90.41
2021-02-01,2021,2,REGION_B,EXPORT,8128,102.81,101.72,94.82
2021-03-01,2021,3,REGION_B,EXPORT,8194,98.76,102.93,90.34
2021-04-01,2021,4,REGION_B,EXPORT,8516,98.71,105.52,95.94
2021-05-01,2021,5,REGION_B,EXPORT,8408,98.94,101.27,95.89
2021-06-01,2021,6,REGION_B,EXPORT,8047,101.78,103.36,98.57
2021-07-01,2021,7,REGION_B,EXPORT,7404,103.76,98.0,98.98
2021-08-01,2021,8,REGION_B,EXPORT,6596,100.48,97.15,96.58
2021-09-01,2021,9,REGION_B,EXPORT,5427,96.41,98.43,94.88
2021-10-01,2021,10,REGION_B,EXPORT,6662,98.07,96.73,97.4
2021-11-01,2021,11,REGION_B,EXPORT,6324,99.88,96.5,94.92
2021-12-01,2021,12,REGION_B,EXPORT,7326,100.5,99.84,96.29
2022-01-01,2022,1,REGION_B,EXPORT,8743,100.87,101.95,98.82
2022-02-01,2022,2,REGION_B,EXPORT,8489,101.84,101.42,95.01
2022-03-01,2022,3,REGION_B,EXPORT,8853,101.21,103.62,98.48
2022-04-01,2022,4,REGION_B,EXPORT,8093,104.0,102.35,98.21
2022-05-01,2022,5,REGION_B,EXPORT,7561,100.62,103.39,94.19
2022-06-01,2022,6,REGION_B,EXPORT,7746,100.32,100.05,99.07
2022-07-01,2022,7,REGION_B,EXPORT,7344,103.07,97.58,98.44
2022-08-01,2022,8,REGION_B,EXPORT,6552,99.11,96.38,97.0
2022-09-01,2022,9,REGION_B,EXPORT,6884,103.03,96.33,94.9
2022-10-01,2022,10,REGION_B,EXPORT,6452,102.53,97.46,94.71
2022-11-01,2022,11,REGION_B,EXPORT,7456,102.1,96.5,95.57
2022-12-01,2022,12,REGION_B,EXPORT,7584,105.64,98.44,98.33
2023-01-01,2023,1,REGION_B,EXPORT,8529,101.29,103.66,94.64
2023-02-01,2023,2,REGION_B,EXPORT,8492,106.73,102.85,98.18
2023-03-01,2023,3,REGION_B,EXPORT,7898,102.23,101.87,94.04
2023-04-01,2023,4,REGION_B,EXPORT,8244,100.19,104.13,96.69
2023-05-01,2023,5,REGION_B,EXPORT,8351,102.96,102.7,97.53
2023-06-01,2023,6,REGION_B,EXPORT,7972,100.73,97.7,103.42
2023-07-01,2023,7,REGION_B,EXPORT,8302,101.45,98.34,93.92
2023-08-01,2023,8,REGION_B,EXPORT,6886,103.82,97.64,101.1
2023-09-01,2023,9,REGION_B,EXPORT,6496,104.21,96.56,97.85
2023-10-01,2023,10,REGION_B,EXPORT,5847,101.92,97.48,98.56
2023-11-01,2023,11,REGION_B,EXPORT,7159,105.21,95.89,97.89
2023-12-01,2023,12,REGION_B,EXPORT,8208,105.62,100.5,98.76
2024-01-01,2024,1,REGION_B,EXPORT,8310,106.25,101.55,97.32
2024-02-01,2024,2,REGION_B,EXPORT,9376,104.51,102.74,101.4
2024-03-01,2024,3,REGION_B,EXPORT,8616,106.25,105.31,96.68
2024-04-01,2024,4,REGION_B,EXPORT,9292,99.83,105.68,100.7
2024-05-01,2024,5,REGION_B,EXPORT,8717,103.03,104.69,96.32
2024-06-01,2024,6,REGION_B,EXPORT,8388,102.0,101.97,97.84
2024-07-01,2024,7,REGION_B,EXPORT,7678,104.04,97.84,95.36
2024-08-01,2024,8,REGION_B,EXPORT,7091,102.73,97.06,99.24
2024-09-01,2024,9,REGION_B,EXPORT,7734,103.61,97.15,101.77
2024-10-01,2024,10,REGION_B,EXPORT,6088,107.78,96.72,98.02
2024-11-01,2024,11,REGION_B,EXPORT,6835,103.75,98.2,97.78
2024-12-01,2024,12,REGION_B,EXPORT,8244,104.98,101.24,95.54
2025-01-01,2025,1,REGION_B,EXPORT,8824,103.76,101.91,97.81
2025-02-01,2025,2,REGION_B,EXPORT,9152,104.45,102.37,94.45
2025-03-01,2025,3,REGION_B,EXPORT,9057,104.38,103.38,96.21
2025-04-01,2025,4,REGION_B,EXPORT,8782,105.33,104.41,99.12
2025-05-01,2025,5,REGION_B,EXPORT,9531,106.84,102.0,101.9
2025-06-01,2025,6,REGION_B,EXPORT,9328,107.87,100.51,105.68
2025-07-01,2025,7,REGION_B,EXPORT,8112,105.27,99.01,97.25
2025-08-01,2025,8,REGION_B,EXPORT,7888,105.9,95.97,102.36
2025-09-01,2025,9,REGION_B,EXPORT,7176,102.49,97.13,99.44
2025-10-01,2025,10,REGION_B,EXPORT,7109,104.68,97.1,98.51
2025-11-01,2025,11,REGION_B,EXPORT,8460,106.81,96.15,100.03
2025-12-01,2025,12,REGION_B,EXPORT,8899,106.73,102.16,99.15
2020-01-01,2020,1,REGION_C,IMPORT,4493,102.95,102.85,89.79
2020-02-01,2020,2,REGION_C,IMPORT,5081,95.17,102.64,96.59
2020-03-01,2020,3,REGION_C,IMPORT,5276,97.31,102.32,97.0
2020-04-01,2020,4,REGION_C,IMPORT,5394,97.84,101.69,94.54
2020-05-01,2020,5,REGION_C,IMPORT,5245,99.56,102.13,89.02
2020-06-01,2020,6,REGION_C,IMPORT,5099,99.84,100.49,92.79
2020-07-01,2020,7,REGION_C,IMPORT,5050,97.41,96.81,98.42
2020-08-01,2020,8,REGION_C,IMPORT,4310,98.52,96.58,88.45
2020-09-01,2020,9,REGION_C,IMPORT,2420,98.84,96.86,94.58
2020-10-01,2020,10,REGION_C,IMPORT,3917,105.55,97.46,92.56
2020-11-01,2020,11,REGION_C,IMPORT,4645,104.31,100.33,97.57
2020-12-01,2020,12,REGION_C,IMPORT,4397,99.95,101.92,93.93
2021-01-01,2021,1,REGION_C,IMPORT,5457,100.12,100.5,96.69
2021-02-01,2021,2,REGION_C,IMPORT,6030,98.62,105.99,97.15
2021-03-01,2021,3,REGION_C,IMPORT,4969,97.17,103.2,100.38
2021-04-01,2021,4,REGION_C,IMPORT,5697,100.82,105.03,95.34
2021-05-01,2021,5,REGION_C,IMPORT,5119,99.13,102.1,96.84
2021-06-01,2021,6,REGION_C,IMPORT,4952,101.03,99.38,92.25
2021-07-01,2021,7,REGION_C,IMPORT,5310,98.07,95.29,98.99
2021-08-01,2021,8,REGION_C,IMPORT,3907,99.81,96.28,94.17
2021-09-01,2021,9,REGION_C,IMPORT,4119,101.71,93.66,94.72
2021-10-01,2021,10,REGION_C,IMPORT,3489,102.21,97.99,96.13
2021-11-01,2021,11,REGION_C,IMPORT,5670,102.38,100.28,92.33
2021-12-01,2021,12,REGION_C,IMPORT,5625,98.98,98.8,96.87
2022-01-01,2022,1,REGION_C,IMPORT,5733,103.4,102.45,98.77
2022-02-01,2022,2,REGION_C,IMPORT,5979,100.16,102.38,97.14
2022-03-01,2022,3,REGION_C,IMPORT,5137,103.1,103.06,92.49
2022-04-01,2022,4,REGION_C,IMPORT,6349,101.88,104.63,96.21
2022-05-01,2022,5,REGION_C,IMPORT,5652,99.22,101.94,98.43
2022-06-01,2022,6,REGION_C,IMPORT,5475,101.41,102.61,91.94
2022-07-01,2022,7,REGION_C,IMPORT,4817,102.84,97.28,94.0
2022-08-01,2022,8,REGION_C,IMPORT,4320,103.41,98.03,98.94
2022-09-01,2022,9,REGION_C,IMPORT,4561,101.97,96.15,97.48
2022-10-01,2022,10,REGION_C,IMPORT,4749,105.39,97.73,97.89
2022-11-01,2022,11,REGION_C,IMPORT,5516,104.41,97.33,101.56
2022-12-01,2022,12,REGION_C,IMPORT,5727,101.95,99.93,98.14
2023-01-01,2023,1,REGION_C,IMPORT,6296,104.04,101.83,98.67
2023-02-01,2023,2,REGION_C,IMPORT,6034,106.47,102.21,103.86
2023-03-01,2023,3,REGION_C,IMPORT,7115,106.6,104.99,96.61
2023-04-01,2023,4,REGION_C,IMPORT,5385,100.29,104.44,95.2
2023-05-01,2023,5,REGION_C,IMPORT,6647,100.96,102.89,98.32
2023-06-01,2023,6,REGION_C,IMPORT,6580,105.86,102.31,98.41
2023-07-01,2023,7,REGION_C,IMPORT,4953,100.84,100.17,96.05
2023-08-01,2023,8,REGION_C,IMPORT,5633,100.38,95.97,94.84
2023-09-01,2023,9,REGION_C,IMPORT,5029,102.13,96.56,103.25
2023-10-01,2023,10,REGION_C,IMPORT,5255,104.01,95.6,98.35
2023-11-01,2023,11,REGION_C,IMPORT,5427,103.03,98.04,95.76
2023-12-01,2023,12,REGION_C,IMPORT,5909,102.01,99.1,99.94
2024-01-01,2024,1,REGION_C,IMPORT,6235,102.03,104.43,97.43
2024-02-01,2024,2,REGION_C,IMPORT,6495,102.03,104.01,97.13
2024-03-01,2024,3,REGION_C,IMPORT,6921,101.76,103.67,99.22
2024-04-01,2024,4,REGION_C,IMPORT,6583,108.15,105.25,94.64
2024-05-01,2024,5,REGION_C,IMPORT,5991,104.26,98.74,98.81
2024-06-01,2024,6,REGION_C,IMPORT,6561,105.51,96.98,102.77
2024-07-01,2024,7,REGION_C,IMPORT,6038,102.82,99.19,99.21
2024-08-01,2024,8,REGION_C,IMPORT,5331,103.5,96.63,97.16
2024-09-01,2024,9,REGION_C,IMPORT,5118,102.52,96.38,96.89
2024-10-01,2024,10,REGION_C,IMPORT,4835,98.71,94.55,97.19
2024-11-01,2024,11,REGION_C,IMPORT,5262,101.33,97.97,97.63
2024-12-01,2024,12,REGION_C,IMPORT,5897,100.53,103.01,97.38
2025-01-01,2025,1,REGION_C,IMPORT,5852,99.73,103.24,100.67
2025-02-01,2025,2,REGION_C,IMPORT,6650,101.91,103.72,94.1
2025-03-01,2025,3,REGION_C,IMPORT,6679,107.02,103.34,100.65
2025-04-01,2025,4,REGION_C,IMPORT,6486,104.35,102.87,97.6
2025-05-01,2025,5,REGION_C,IMPORT,5454,107.09,98.81,99.55
2025-06-01,2025,6,REGION_C,IMPORT,5915,105.4,100.39,95.84
2025-07-01,2025,7,REGION_C,IMPORT,6497,106.21,99.27,102.04
2025-08-01,2025,8,REGION_C,IMPORT,5029,102.92,94.17,101.89
